timeMs,imsi,rnti,srcL2Id,dstL2Id,frame,subFrame,slot,symStart,symLen,sbChSize,rbStart,rbLen,harqId,ndi,rv,reselCounter,cReselCounter,csiReq,castType,SEED,RUN
2111.5,1,1,1,255,211,1,2,1,12,50,0,50,0,1,0,13,130,0,0,1,1
2114.25,1,1,1,255,211,4,1,1,12,50,0,50,0,0,2,13,130,0,0,1,1
2114.5,1,1,1,255,211,4,2,1,12,50,0,50,0,0,3,13,130,0,0,1,1
2116.75,1,1,1,255,211,6,3,1,12,50,0,50,0,0,1,13,130,0,0,1,1
2117.0,1,1,1,255,211,7,0,1,12,50,0,50,0,0,0,12,129,0,0,1,1
2211.5,1,1,1,255,221,1,2,1,12,50,0,50,1,1,0,12,129,0,0,1,1
2214.25,1,1,1,255,221,4,1,1,12,50,0,50,1,0,2,12,129,0,0,1,1
2214.5,1,1,1,255,221,4,2,1,12,50,0,50,1,0,3,12,129,0,0,1,1
2216.75,1,1,1,255,221,6,3,1,12,50,0,50,1,0,1,12,129,0,0,1,1
2217.0,1,1,1,255,221,7,0,1,12,50,0,50,1,0,0,11,128,0,0,1,1
2311.5,1,1,1,255,231,1,2,1,12,50,0,50,2,1,0,11,128,0,0,1,1
2314.25,1,1,1,255,231,4,1,1,12,50,0,50,2,0,2,11,128,0,0,1,1
2314.5,1,1,1,255,231,4,2,1,12,50,0,50,2,0,3,11,128,0,0,1,1
2316.75,1,1,1,255,231,6,3,1,12,50,0,50,2,0,1,11,128,0,0,1,1
2317.0,1,1,1,255,231,7,0,1,12,50,0,50,2,0,0,10,127,0,0,1,1
2411.5,1,1,1,255,241,1,2,1,12,50,0,50,3,1,0,10,127,0,0,1,1
2414.25,1,1,1,255,241,4,1,1,12,50,0,50,3,0,2,10,127,0,0,1,1
2414.5,1,1,1,255,241,4,2,1,12,50,0,50,3,0,3,10,127,0,0,1,1
2416.75,1,1,1,255,241,6,3,1,12,50,0,50,3,0,1,10,127,0,0,1,1
2417.0,1,1,1,255,241,7,0,1,12,50,0,50,3,0,0,9,126,0,0,1,1
2511.5,1,1,1,255,251,1,2,1,12,50,0,50,0,1,0,9,126,0,0,1,1
2514.25,1,1,1,255,251,4,1,1,12,50,0,50,0,0,2,9,126,0,0,1,1
2514.5,1,1,1,255,251,4,2,1,12,50,0,50,0,0,3,9,126,0,0,1,1
2516.75,1,1,1,255,251,6,3,1,12,50,0,50,0,0,1,9,126,0,0,1,1
2517.0,1,1,1,255,251,7,0,1,12,50,0,50,0,0,0,8,125,0,0,1,1
2611.5,1,1,1,255,261,1,2,1,12,50,0,50,1,1,0,8,125,0,0,1,1
2614.25,1,1,1,255,261,4,1,1,12,50,0,50,1,0,2,8,125,0,0,1,1
2614.5,1,1,1,255,261,4,2,1,12,50,0,50,1,0,3,8,125,0,0,1,1
2616.75,1,1,1,255,261,6,3,1,12,50,0,50,1,0,1,8,125,0,0,1,1
2617.0,1,1,1,255,261,7,0,1,12,50,0,50,1,0,0,7,124,0,0,1,1
2711.5,1,1,1,255,271,1,2,1,12,50,0,50,2,1,0,7,124,0,0,1,1
2714.25,1,1,1,255,271,4,1,1,12,50,0,50,2,0,2,7,124,0,0,1,1
2714.5,1,1,1,255,271,4,2,1,12,50,0,50,2,0,3,7,124,0,0,1,1
2716.75,1,1,1,255,271,6,3,1,12,50,0,50,2,0,1,7,124,0,0,1,1
2717.0,1,1,1,255,271,7,0,1,12,50,0,50,2,0,0,6,123,0,0,1,1
2811.5,1,1,1,255,281,1,2,1,12,50,0,50,3,1,0,6,123,0,0,1,1
2814.25,1,1,1,255,281,4,1,1,12,50,0,50,3,0,2,6,123,0,0,1,1
2814.5,1,1,1,255,281,4,2,1,12,50,0,50,3,0,3,6,123,0,0,1,1
2816.75,1,1,1,255,281,6,3,1,12,50,0,50,3,0,1,6,123,0,0,1,1
2817.0,1,1,1,255,281,7,0,1,12,50,0,50,3,0,0,5,122,0,0,1,1
2911.5,1,1,1,255,291,1,2,1,12,50,0,50,0,1,0,5,122,0,0,1,1
2914.25,1,1,1,255,291,4,1,1,12,50,0,50,0,0,2,5,122,0,0,1,1
2914.5,1,1,1,255,291,4,2,1,12,50,0,50,0,0,3,5,122,0,0,1,1
2916.75,1,1,1,255,291,6,3,1,12,50,0,50,0,0,1,5,122,0,0,1,1
2917.0,1,1,1,255,291,7,0,1,12,50,0,50,0,0,0,4,121,0,0,1,1
3011.5,1,1,1,255,301,1,2,1,12,50,0,50,1,1,0,4,121,0,0,1,1
3014.25,1,1,1,255,301,4,1,1,12,50,0,50,1,0,2,4,121,0,0,1,1
3014.5,1,1,1,255,301,4,2,1,12,50,0,50,1,0,3,4,121,0,0,1,1
3016.75,1,1,1,255,301,6,3,1,12,50,0,50,1,0,1,4,121,0,0,1,1
3017.0,1,1,1,255,301,7,0,1,12,50,0,50,1,0,0,3,120,0,0,1,1
3111.5,1,1,1,255,311,1,2,1,12,50,0,50,2,1,0,3,120,0,0,1,1
3114.25,1,1,1,255,311,4,1,1,12,50,0,50,2,0,2,3,120,0,0,1,1
3114.5,1,1,1,255,311,4,2,1,12,50,0,50,2,0,3,3,120,0,0,1,1
3116.75,1,1,1,255,311,6,3,1,12,50,0,50,2,0,1,3,120,0,0,1,1
3117.0,1,1,1,255,311,7,0,1,12,50,0,50,2,0,0,2,119,0,0,1,1
3211.5,1,1,1,255,321,1,2,1,12,50,0,50,3,1,0,2,119,0,0,1,1
3214.25,1,1,1,255,321,4,1,1,12,50,0,50,3,0,2,2,119,0,0,1,1
3214.5,1,1,1,255,321,4,2,1,12,50,0,50,3,0,3,2,119,0,0,1,1
3216.75,1,1,1,255,321,6,3,1,12,50,0,50,3,0,1,2,119,0,0,1,1
3217.0,1,1,1,255,321,7,0,1,12,50,0,50,3,0,0,1,118,0,0,1,1
3311.5,1,1,1,255,331,1,2,1,12,50,0,50,0,1,0,1,118,0,0,1,1
3314.25,1,1,1,255,331,4,1,1,12,50,0,50,0,0,2,1,118,0,0,1,1
3314.5,1,1,1,255,331,4,2,1,12,50,0,50,0,0,3,1,118,0,0,1,1
3316.75,1,1,1,255,331,6,3,1,12,50,0,50,0,0,1,1,118,0,0,1,1
3317.0,1,1,1,255,331,7,0,1,12,50,0,50,0,0,0,0,117,0,0,1,1
3419.25,1,1,1,255,341,9,1,1,12,50,0,50,2,1,0,13,139,0,0,1,1
3419.75,1,1,1,255,341,9,3,1,12,50,0,50,2,0,2,13,139,0,0,1,1
3421.0,1,1,1,255,342,1,0,1,12,50,0,50,2,0,3,13,139,0,0,1,1
3421.75,1,1,1,255,342,1,3,1,12,50,0,50,2,0,1,13,139,0,0,1,1
3424.25,1,1,1,255,342,4,1,1,12,50,0,50,2,0,0,12,138,0,0,1,1
3519.25,1,1,1,255,351,9,1,1,12,50,0,50,3,1,0,12,138,0,0,1,1
3519.75,1,1,1,255,351,9,3,1,12,50,0,50,3,0,2,12,138,0,0,1,1
3521.0,1,1,1,255,352,1,0,1,12,50,0,50,3,0,3,12,138,0,0,1,1
3521.75,1,1,1,255,352,1,3,1,12,50,0,50,3,0,1,12,138,0,0,1,1
3524.25,1,1,1,255,352,4,1,1,12,50,0,50,3,0,0,11,137,0,0,1,1
3619.25,1,1,1,255,361,9,1,1,12,50,0,50,0,1,0,11,137,0,0,1,1
3619.75,1,1,1,255,361,9,3,1,12,50,0,50,0,0,2,11,137,0,0,1,1
3621.0,1,1,1,255,362,1,0,1,12,50,0,50,0,0,3,11,137,0,0,1,1
3621.75,1,1,1,255,362,1,3,1,12,50,0,50,0,0,1,11,137,0,0,1,1
3624.25,1,1,1,255,362,4,1,1,12,50,0,50,0,0,0,10,136,0,0,1,1
3719.25,1,1,1,255,371,9,1,1,12,50,0,50,1,1,0,10,136,0,0,1,1
3719.75,1,1,1,255,371,9,3,1,12,50,0,50,1,0,2,10,136,0,0,1,1
3721.0,1,1,1,255,372,1,0,1,12,50,0,50,1,0,3,10,136,0,0,1,1
3721.75,1,1,1,255,372,1,3,1,12,50,0,50,1,0,1,10,136,0,0,1,1
3724.25,1,1,1,255,372,4,1,1,12,50,0,50,1,0,0,9,135,0,0,1,1
3819.25,1,1,1,255,381,9,1,1,12,50,0,50,2,1,0,9,135,0,0,1,1
3819.75,1,1,1,255,381,9,3,1,12,50,0,50,2,0,2,9,135,0,0,1,1
3821.0,1,1,1,255,382,1,0,1,12,50,0,50,2,0,3,9,135,0,0,1,1
3821.75,1,1,1,255,382,1,3,1,12,50,0,50,2,0,1,9,135,0,0,1,1
3824.25,1,1,1,255,382,4,1,1,12,50,0,50,2,0,0,8,134,0,0,1,1
3919.25,1,1,1,255,391,9,1,1,12,50,0,50,3,1,0,8,134,0,0,1,1
3919.75,1,1,1,255,391,9,3,1,12,50,0,50,3,0,2,8,134,0,0,1,1
3921.0,1,1,1,255,392,1,0,1,12,50,0,50,3,0,3,8,134,0,0,1,1
3921.75,1,1,1,255,392,1,3,1,12,50,0,50,3,0,1,8,134,0,0,1,1
3924.25,1,1,1,255,392,4,1,1,12,50,0,50,3,0,0,7,133,0,0,1,1
